+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
| 0 | 3 |     NEW |     READY |
| 0 | 3 |   READY |   RUNNING |
| 1 | 6 |     NEW |     READY |
| 3 | 8 |     NEW |     READY |
| 4 | 5 |     NEW |     READY |
| 25 | 3 | RUNNING |   WAITING |
| 25 | 5 |   READY |   RUNNING |
| 35 | 3 | WAITING |     READY |
| 35 | 5 | RUNNING |     READY |
| 35 | 3 |   READY |   RUNNING |
| 60 | 3 | RUNNING |   WAITING |
| 60 | 5 |   READY |   RUNNING |
| 70 | 5 | RUNNING |   WAITING |
| 70 | 3 | WAITING |     READY |
| 70 | 3 |   READY |   RUNNING |
| 80 | 5 | WAITING |     READY |
| 95 | 3 | RUNNING |   WAITING |
| 95 | 5 |   READY |   RUNNING |
| 105 | 3 | WAITING |     READY |
| 105 | 5 | RUNNING |     READY |
| 105 | 3 |   READY |   RUNNING |
| 130 | 3 | RUNNING |   WAITING |
| 130 | 5 |   READY |   RUNNING |
| 140 | 5 | RUNNING |   WAITING |
| 140 | 3 | WAITING |     READY |
| 140 | 3 |   READY |   RUNNING |
| 150 | 5 | WAITING |     READY |
| 165 | 3 | RUNNING |   WAITING |
| 165 | 5 |   READY |   RUNNING |
| 175 | 3 | WAITING |     READY |
| 175 | 5 | RUNNING |     READY |
| 175 | 3 |   READY |   RUNNING |
| 200 | 3 | RUNNING |   WAITING |
| 200 | 5 |   READY |   RUNNING |
| 210 | 5 | RUNNING |   WAITING |
| 210 | 3 | WAITING |     READY |
| 210 | 3 |   READY |   RUNNING |
| 220 | 5 | WAITING |     READY |
| 235 | 3 | RUNNING |   WAITING |
| 235 | 5 |   READY |   RUNNING |
| 245 | 3 | WAITING |     READY |
| 245 | 5 | RUNNING |     READY |
| 245 | 3 |   READY |   RUNNING |
| 270 | 3 | RUNNING |   WAITING |
| 270 | 5 |   READY |   RUNNING |
| 280 | 5 | RUNNING |   WAITING |
| 280 | 3 | WAITING |     READY |
| 280 | 3 |   READY |   RUNNING |
| 290 | 5 | WAITING |     READY |
| 305 | 3 | RUNNING |   WAITING |
| 305 | 5 |   READY |   RUNNING |
| 315 | 3 | WAITING |     READY |
| 315 | 5 | RUNNING |     READY |
| 315 | 3 |   READY |   RUNNING |
| 340 | 3 | RUNNING | TERMINATED |
| 340 | 5 |   READY |   RUNNING |
| 350 | 5 | RUNNING | TERMINATED |
| 350 | 6 |   READY |   RUNNING |
| 375 | 6 | RUNNING |   WAITING |
| 375 | 8 |   READY |   RUNNING |
| 385 | 6 | WAITING |     READY |
| 385 | 8 | RUNNING |     READY |
| 385 | 6 |   READY |   RUNNING |
| 410 | 6 | RUNNING |   WAITING |
| 410 | 8 |   READY |   RUNNING |
| 420 | 6 | WAITING |     READY |
| 420 | 8 | RUNNING |     READY |
| 420 | 6 |   READY |   RUNNING |
| 445 | 6 | RUNNING |   WAITING |
| 445 | 8 |   READY |   RUNNING |
| 455 | 6 | WAITING |     READY |
| 455 | 8 | RUNNING |     READY |
| 455 | 6 |   READY |   RUNNING |
| 480 | 6 | RUNNING | TERMINATED |
| 480 | 8 |   READY |   RUNNING |
| 490 | 8 | RUNNING |   WAITING |
| 510 | 8 | WAITING |     READY |
| 510 | 8 |   READY |   RUNNING |
| 550 | 8 | RUNNING |   WAITING |
| 570 | 8 | WAITING |     READY |
| 570 | 8 |   READY |   RUNNING |
| 610 | 8 | RUNNING | TERMINATED |
+------------------------------------------------+
