+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
| 0 | 4 |     NEW |     READY |
| 0 | 4 |   READY |   RUNNING |
| 1 | 5 |     NEW |     READY |
| 2 | 6 |     NEW |     READY |
| 5 | 4 | RUNNING |   WAITING |
| 5 | 5 |   READY |   RUNNING |
| 10 | 5 | RUNNING |   WAITING |
| 10 | 6 |   READY |   RUNNING |
| 15 | 6 | RUNNING |   WAITING |
| 15 | 4 | WAITING |     READY |
| 15 | 4 |   READY |   RUNNING |
| 20 | 4 | RUNNING |   WAITING |
| 20 | 5 | WAITING |     READY |
| 20 | 5 |   READY |   RUNNING |
| 25 | 5 | RUNNING |   WAITING |
| 25 | 6 | WAITING |     READY |
| 25 | 6 |   READY |   RUNNING |
| 30 | 6 | RUNNING |   WAITING |
| 30 | 4 | WAITING |     READY |
| 30 | 4 |   READY |   RUNNING |
| 35 | 4 | RUNNING |   WAITING |
| 35 | 5 | WAITING |     READY |
| 35 | 5 |   READY |   RUNNING |
| 40 | 5 | RUNNING |   WAITING |
| 40 | 6 | WAITING |     READY |
| 40 | 6 |   READY |   RUNNING |
| 45 | 6 | RUNNING |   WAITING |
| 45 | 4 | WAITING |     READY |
| 45 | 4 |   READY |   RUNNING |
| 50 | 4 | RUNNING |   WAITING |
| 50 | 5 | WAITING |     READY |
| 50 | 5 |   READY |   RUNNING |
| 55 | 5 | RUNNING |   WAITING |
| 55 | 6 | WAITING |     READY |
| 55 | 6 |   READY |   RUNNING |
| 60 | 6 | RUNNING |   WAITING |
| 60 | 4 | WAITING |     READY |
| 60 | 4 |   READY |   RUNNING |
| 65 | 4 | RUNNING |   WAITING |
| 65 | 5 | WAITING |     READY |
| 65 | 5 |   READY |   RUNNING |
| 70 | 5 | RUNNING |   WAITING |
| 70 | 6 | WAITING |     READY |
| 70 | 6 |   READY |   RUNNING |
| 75 | 6 | RUNNING |   WAITING |
| 75 | 4 | WAITING |     READY |
| 75 | 4 |   READY |   RUNNING |
| 80 | 4 | RUNNING |   WAITING |
| 80 | 5 | WAITING |     READY |
| 80 | 5 |   READY |   RUNNING |
| 85 | 5 | RUNNING |   WAITING |
| 85 | 6 | WAITING |     READY |
| 85 | 6 |   READY |   RUNNING |
| 90 | 6 | RUNNING |   WAITING |
| 90 | 4 | WAITING |     READY |
| 90 | 4 |   READY |   RUNNING |
| 95 | 4 | RUNNING |   WAITING |
| 95 | 5 | WAITING |     READY |
| 95 | 5 |   READY |   RUNNING |
| 100 | 5 | RUNNING |   WAITING |
| 100 | 6 | WAITING |     READY |
| 100 | 6 |   READY |   RUNNING |
| 105 | 6 | RUNNING |   WAITING |
| 105 | 4 | WAITING |     READY |
| 105 | 4 |   READY |   RUNNING |
| 110 | 4 | RUNNING | TERMINATED |
| 110 | 5 | WAITING |     READY |
| 110 | 5 |   READY |   RUNNING |
| 115 | 5 | RUNNING | TERMINATED |
| 115 | 6 | WAITING |     READY |
| 115 | 6 |   READY |   RUNNING |
| 120 | 6 | RUNNING | TERMINATED |
+------------------------------------------------+
