+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
| 0 | 1 |     NEW |     READY |
| 0 | 4 |     NEW |     READY |
| 0 | 1 |   READY |   RUNNING |
| 1 | 5 |     NEW |     READY |
| 2 | 7 |     NEW |     READY |
| 3 | 9 |     NEW |     READY |
| 10 | 1 | RUNNING |   WAITING |
| 10 | 4 |   READY |   RUNNING |
| 15 | 1 | WAITING |     READY |
| 15 | 4 | RUNNING |     READY |
| 15 | 1 |   READY |   RUNNING |
| 25 | 1 | RUNNING |   WAITING |
| 25 | 4 |   READY |   RUNNING |
| 30 | 1 | WAITING |     READY |
| 30 | 4 | RUNNING |     READY |
| 30 | 1 |   READY |   RUNNING |
| 40 | 1 | RUNNING |   WAITING |
| 40 | 4 |   READY |   RUNNING |
| 45 | 1 | WAITING |     READY |
| 45 | 4 | RUNNING |     READY |
| 45 | 1 |   READY |   RUNNING |
| 55 | 1 | RUNNING |   WAITING |
| 55 | 4 |   READY |   RUNNING |
| 60 | 1 | WAITING |     READY |
| 60 | 4 | RUNNING |     READY |
| 60 | 1 |   READY |   RUNNING |
| 70 | 1 | RUNNING |   WAITING |
| 70 | 4 |   READY |   RUNNING |
| 75 | 4 | RUNNING |   WAITING |
| 75 | 1 | WAITING |     READY |
| 75 | 1 |   READY |   RUNNING |
| 85 | 1 | RUNNING |   WAITING |
| 85 | 4 | WAITING |     READY |
| 85 | 4 |   READY |   RUNNING |
| 90 | 1 | WAITING |     READY |
| 90 | 4 | RUNNING |     READY |
| 90 | 1 |   READY |   RUNNING |
| 100 | 1 | RUNNING |   WAITING |
| 100 | 4 |   READY |   RUNNING |
| 105 | 1 | WAITING |     READY |
| 105 | 4 | RUNNING |     READY |
| 105 | 1 |   READY |   RUNNING |
| 115 | 1 | RUNNING |   WAITING |
| 115 | 4 |   READY |   RUNNING |
| 120 | 1 | WAITING |     READY |
| 120 | 4 | RUNNING |     READY |
| 120 | 1 |   READY |   RUNNING |
| 130 | 1 | RUNNING |   WAITING |
| 130 | 4 |   READY |   RUNNING |
| 135 | 1 | WAITING |     READY |
| 135 | 4 | RUNNING |     READY |
| 135 | 1 |   READY |   RUNNING |
| 145 | 1 | RUNNING |   WAITING |
| 145 | 4 |   READY |   RUNNING |
| 150 | 4 | RUNNING |   WAITING |
| 150 | 1 | WAITING |     READY |
| 150 | 1 |   READY |   RUNNING |
| 160 | 1 | RUNNING |   WAITING |
| 160 | 4 | WAITING |     READY |
| 160 | 4 |   READY |   RUNNING |
| 165 | 1 | WAITING |     READY |
| 165 | 4 | RUNNING |     READY |
| 165 | 1 |   READY |   RUNNING |
| 175 | 1 | RUNNING |   WAITING |
| 175 | 4 |   READY |   RUNNING |
| 180 | 1 | WAITING |     READY |
| 180 | 4 | RUNNING |     READY |
| 180 | 1 |   READY |   RUNNING |
| 190 | 1 | RUNNING |   WAITING |
| 190 | 4 |   READY |   RUNNING |
| 195 | 1 | WAITING |     READY |
| 195 | 4 | RUNNING |     READY |
| 195 | 1 |   READY |   RUNNING |
| 205 | 1 | RUNNING |   WAITING |
| 205 | 4 |   READY |   RUNNING |
| 210 | 1 | WAITING |     READY |
| 210 | 4 | RUNNING |     READY |
| 210 | 1 |   READY |   RUNNING |
| 220 | 1 | RUNNING |   WAITING |
| 220 | 4 |   READY |   RUNNING |
