+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
| 0 | 3 |     NEW |     READY |
| 0 | 3 |   READY |   RUNNING |
| 1 | 6 |     NEW |     READY |
| 3 | 8 |     NEW |     READY |
| 4 | 5 |     NEW |     READY |
| 25 | 3 | RUNNING |   WAITING |
| 25 | 5 |   READY |   RUNNING |
| 35 | 3 | WAITING |     READY |
| 45 | 5 | RUNNING |   WAITING |
| 45 | 3 |   READY |   RUNNING |
| 55 | 5 | WAITING |     READY |
| 70 | 3 | RUNNING |   WAITING |
| 70 | 5 |   READY |   RUNNING |
| 80 | 3 | WAITING |     READY |
| 90 | 5 | RUNNING |   WAITING |
| 90 | 3 |   READY |   RUNNING |
| 100 | 5 | WAITING |     READY |
| 115 | 3 | RUNNING |   WAITING |
| 115 | 5 |   READY |   RUNNING |
| 125 | 3 | WAITING |     READY |
| 135 | 5 | RUNNING |   WAITING |
| 135 | 3 |   READY |   RUNNING |
| 145 | 5 | WAITING |     READY |
| 160 | 3 | RUNNING |   WAITING |
| 160 | 5 |   READY |   RUNNING |
| 170 | 3 | WAITING |     READY |
| 180 | 5 | RUNNING |   WAITING |
| 180 | 3 |   READY |   RUNNING |
| 190 | 5 | WAITING |     READY |
| 205 | 3 | RUNNING |   WAITING |
| 205 | 5 |   READY |   RUNNING |
| 215 | 3 | WAITING |     READY |
| 225 | 5 | RUNNING | TERMINATED |
| 225 | 3 |   READY |   RUNNING |
| 250 | 3 | RUNNING |   WAITING |
| 250 | 6 |   READY |   RUNNING |
| 260 | 3 | WAITING |     READY |
| 275 | 6 | RUNNING |   WAITING |
| 275 | 3 |   READY |   RUNNING |
| 285 | 6 | WAITING |     READY |
| 300 | 3 | RUNNING |   WAITING |
| 300 | 6 |   READY |   RUNNING |
| 310 | 3 | WAITING |     READY |
| 325 | 6 | RUNNING |   WAITING |
| 325 | 3 |   READY |   RUNNING |
| 335 | 6 | WAITING |     READY |
| 350 | 3 | RUNNING |   WAITING |
| 350 | 6 |   READY |   RUNNING |
| 360 | 3 | WAITING |     READY |
| 375 | 6 | RUNNING |   WAITING |
| 375 | 3 |   READY |   RUNNING |
| 385 | 6 | WAITING |     READY |
| 400 | 3 | RUNNING |   WAITING |
| 400 | 6 |   READY |   RUNNING |
| 410 | 3 | WAITING |     READY |
| 425 | 6 | RUNNING | TERMINATED |
| 425 | 3 |   READY |   RUNNING |
| 450 | 3 | RUNNING | TERMINATED |
| 450 | 8 |   READY |   RUNNING |
| 490 | 8 | RUNNING |   WAITING |
| 510 | 8 | WAITING |     READY |
| 510 | 8 |   READY |   RUNNING |
| 550 | 8 | RUNNING |   WAITING |
| 570 | 8 | WAITING |     READY |
| 570 | 8 |   READY |   RUNNING |
| 610 | 8 | RUNNING | TERMINATED |
+------------------------------------------------+
