+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
| 0 | 3 |     NEW |     READY |
| 0 | 3 |   READY |   RUNNING |
| 1 | 6 |     NEW |     READY |
| 3 | 8 |     NEW |     READY |
| 4 | 5 |     NEW |     READY |
| 25 | 3 | RUNNING |   WAITING |
| 25 | 6 |   READY |   RUNNING |
| 35 | 3 | WAITING |     READY |
| 50 | 6 | RUNNING |   WAITING |
| 50 | 8 |   READY |   RUNNING |
| 60 | 6 | WAITING |     READY |
| 90 | 8 | RUNNING |   WAITING |
| 90 | 5 |   READY |   RUNNING |
| 110 | 5 | RUNNING |   WAITING |
| 110 | 8 | WAITING |     READY |
| 110 | 3 |   READY |   RUNNING |
| 120 | 5 | WAITING |     READY |
| 135 | 3 | RUNNING |   WAITING |
| 135 | 6 |   READY |   RUNNING |
| 145 | 3 | WAITING |     READY |
| 160 | 6 | RUNNING |   WAITING |
| 160 | 8 |   READY |   RUNNING |
| 170 | 6 | WAITING |     READY |
| 200 | 8 | RUNNING |   WAITING |
| 200 | 5 |   READY |   RUNNING |
| 220 | 5 | RUNNING |   WAITING |
| 220 | 8 | WAITING |     READY |
| 220 | 3 |   READY |   RUNNING |
| 230 | 5 | WAITING |     READY |
| 245 | 3 | RUNNING |   WAITING |
| 245 | 6 |   READY |   RUNNING |
| 255 | 3 | WAITING |     READY |
| 270 | 6 | RUNNING |   WAITING |
| 270 | 8 |   READY |   RUNNING |
| 280 | 6 | WAITING |     READY |
| 310 | 8 | RUNNING | TERMINATED |
| 310 | 5 |   READY |   RUNNING |
| 330 | 5 | RUNNING |   WAITING |
| 330 | 3 |   READY |   RUNNING |
| 340 | 5 | WAITING |     READY |
| 355 | 3 | RUNNING |   WAITING |
| 355 | 6 |   READY |   RUNNING |
| 365 | 3 | WAITING |     READY |
| 380 | 6 | RUNNING | TERMINATED |
| 380 | 5 |   READY |   RUNNING |
| 400 | 5 | RUNNING |   WAITING |
| 400 | 3 |   READY |   RUNNING |
| 410 | 5 | WAITING |     READY |
| 425 | 3 | RUNNING |   WAITING |
| 425 | 5 |   READY |   RUNNING |
| 435 | 3 | WAITING |     READY |
| 445 | 5 | RUNNING | TERMINATED |
| 445 | 3 |   READY |   RUNNING |
| 470 | 3 | RUNNING |   WAITING |
| 480 | 3 | WAITING |     READY |
| 480 | 3 |   READY |   RUNNING |
| 505 | 3 | RUNNING |   WAITING |
| 515 | 3 | WAITING |     READY |
| 515 | 3 |   READY |   RUNNING |
| 540 | 3 | RUNNING |   WAITING |
| 550 | 3 | WAITING |     READY |
| 550 | 3 |   READY |   RUNNING |
| 575 | 3 | RUNNING |   WAITING |
| 585 | 3 | WAITING |     READY |
| 585 | 3 |   READY |   RUNNING |
| 610 | 3 | RUNNING | TERMINATED |
+------------------------------------------------+
